Track Name,Artists,Album Cover URL
I Miss You,blink-182,https://i.scdn.co/image/ab67616d0000b2730a4ae12eb3a9fb7e3815001c
Something Special,Pearl Jam,https://i.scdn.co/image/ab67616d0000b2736fcdcbbd9cae9001ca5b20d5
Creep,Radiohead,https://i.scdn.co/image/ab67616d0000b273ec548c00d3ac2f10be73366d
No Surprises,Radiohead,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
Karma Police,Radiohead,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
Exit Music (For A Film),Radiohead,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
Holier Than Thou - Remastered 2021,Metallica,https://i.scdn.co/image/ab67616d0000b273c1a13209dfe146aef3296e34
The Day That Never Comes,Metallica,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
Killing In The Name,Rage Against The Machine,https://i.scdn.co/image/ab67616d0000b27354ab617bc2d4974ab6ffbece
Turn The Page,Metallica,https://i.scdn.co/image/ab67616d0000b27375e6375e11550746705a9645
Sikamikanico,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273105db931298b7366fec712cb
Sick Love,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b27358406b3f1ac3ceaff7a64fef
My Apocalypse,Metallica,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
Shadows Follow,Metallica,https://i.scdn.co/image/ab67616d0000b273cf2420c5c82d351496e8fd9e
Ah Yom,John Frusciante,https://i.scdn.co/image/ab67616d0000b273d0fc10bfd23d2ef8824a0d81
Suicide & Redemption,Metallica,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
Zone,John Frusciante,https://i.scdn.co/image/ab67616d0000b2730fd255ff5e42f161a0428d11
Giorgio by Moroder,Daft Punk,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937
Overcompensate,Twenty One Pilots,https://i.scdn.co/image/ab67616d0000b27399bb3f025c3c637945080979
Walls,"John Frusciante, Josh Klinghoffer",https://i.scdn.co/image/ab67616d0000b273fad5d9e78941effaf4232716
Interior Two,John Frusciante,https://i.scdn.co/image/ab67616d0000b2731e953065a77553ea69792eef
What I Saw,John Frusciante,https://i.scdn.co/image/ab67616d0000b2731e953065a77553ea69792eef
I'm Around,John Frusciante,https://i.scdn.co/image/ab67616d0000b2731e953065a77553ea69792eef
Look On,John Frusciante,https://i.scdn.co/image/ab67616d0000b2731e953065a77553ea69792eef
Little Wing,Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4
Old Age - Nevermind Outtake,Nirvana,https://i.scdn.co/image/ab67616d0000b2733a95d96086fa3571727707d1
Blackbird - Remastered 2009,The Beatles,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2
Dark/Light,John Frusciante,https://i.scdn.co/image/ab67616d0000b273833104647f596f77a3a6aa5f
Time Runs Out,John Frusciante,https://i.scdn.co/image/ab67616d0000b27316f2f88d46c320334011dc25
You're All I Need,Mötley Crüe,https://i.scdn.co/image/ab67616d0000b273c1b41df3ca1fc7f6a69feb4f
So Excited,Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b27376bc8abf6974b4f6d490d034
"Come On, Pt. III",Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b2731b45c9a0c1df131f66d9c2ca
Wall of Denial,Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b273fb58ea8f6d1a6d3ac6ee9731
Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322
Change It,Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b2731b45c9a0c1df131f66d9c2ca
Down with the Sickness,Disturbed,https://i.scdn.co/image/ab67616d0000b2732b222dcd5c4fcac7c0e81da2
Mandatory Suicide,Slayer,https://i.scdn.co/image/ab67616d0000b2736b5a07577377bb68b33e908c
Hard Lines Sunken Cheeks,Pantera,https://i.scdn.co/image/ab67616d0000b27364fa027e7ef7ce20fa8b46f2
I'm Broken,Pantera,https://i.scdn.co/image/ab67616d0000b27364fa027e7ef7ce20fa8b46f2
Carry Me Home,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b273aa50644f05f26e73ba950b8c
Rebel Of Babylon,Metallica,https://i.scdn.co/image/ab67616d0000b273702cd0315b57c5c25690bc58
